time(ms),Hips position X(m),Hips position Y(m),Hips position Z(m),Hips quaternion W,Hips quaternion X,Hips quaternion Y,Hips quaternion Z,RightUpperLeg position X(m),RightUpperLeg position Y(m),RightUpperLeg position Z(m),RightUpperLeg quaternion W,RightUpperLeg quaternion X,RightUpperLeg quaternion Y,RightUpperLeg quaternion Z,RightLowerLeg position X(m),RightLowerLeg position Y(m),RightLowerLeg position Z(m),RightLowerLeg quaternion W,RightLowerLeg quaternion X,RightLowerLeg quaternion Y,RightLowerLeg quaternion Z,RightFoot position X(m),RightFoot position Y(m),RightFoot position Z(m),RightFoot quaternion W,RightFoot quaternion X,RightFoot quaternion Y,RightFoot quaternion Z,RightToe position X(m),RightToe position Y(m),RightToe position Z(m),RightToe quaternion W,RightToe quaternion X,RightToe quaternion Y,RightToe quaternion Z,LeftUpperLeg position X(m),LeftUpperLeg position Y(m),LeftUpperLeg position Z(m),LeftUpperLeg quaternion W,LeftUpperLeg quaternion X,LeftUpperLeg quaternion Y,LeftUpperLeg quaternion Z,LeftLowerLeg position X(m),LeftLowerLeg position Y(m),LeftLowerLeg position Z(m),LeftLowerLeg quaternion W,LeftLowerLeg quaternion X,LeftLowerLeg quaternion Y,LeftLowerLeg quaternion Z,LeftFoot position X(m),LeftFoot position Y(m),LeftFoot position Z(m),LeftFoot quaternion W,LeftFoot quaternion X,LeftFoot quaternion Y,LeftFoot quaternion Z,LeftToe position X(m),LeftToe position Y(m),LeftToe position Z(m),LeftToe quaternion W,LeftToe quaternion X,LeftToe quaternion Y,LeftToe quaternion Z,Spine position X(m),Spine position Y(m),Spine position Z(m),Spine quaternion W,Spine quaternion X,Spine quaternion Y,Spine quaternion Z,Spine1 position X(m),Spine1 position Y(m),Spine1 position Z(m),Spine1 quaternion W,Spine1 quaternion X,Spine1 quaternion Y,Spine1 quaternion Z,Spine2 position X(m),Spine2 position Y(m),Spine2 position Z(m),Spine2 quaternion W,Spine2 quaternion X,Spine2 quaternion Y,Spine2 quaternion Z,Spine3 position X(m),Spine3 position Y(m),Spine3 position Z(m),Spine3 quaternion W,Spine3 quaternion X,Spine3 quaternion Y,Spine3 quaternion Z,Neck position X(m),Neck position Y(m),Neck position Z(m),Neck quaternion W,Neck quaternion X,Neck quaternion Y,Neck quaternion Z,Head position X(m),Head position Y(m),Head position Z(m),Head quaternion W,Head quaternion X,Head quaternion Y,Head quaternion Z,RightShoulder position X(m),RightShoulder position Y(m),RightShoulder position Z(m),RightShoulder quaternion W,RightShoulder quaternion X,RightShoulder quaternion Y,RightShoulder quaternion Z,RightUpperArm position X(m),RightUpperArm position Y(m),RightUpperArm position Z(m),RightUpperArm quaternion W,RightUpperArm quaternion X,RightUpperArm quaternion Y,RightUpperArm quaternion Z,RightLowerArm position X(m),RightLowerArm position Y(m),RightLowerArm position Z(m),RightLowerArm quaternion W,RightLowerArm quaternion X,RightLowerArm quaternion Y,RightLowerArm quaternion Z,RightHand position X(m),RightHand position Y(m),RightHand position Z(m),RightHand quaternion W,RightHand quaternion X,RightHand quaternion Y,RightHand quaternion Z,LeftShoulder position X(m),LeftShoulder position Y(m),LeftShoulder position Z(m),LeftShoulder quaternion W,LeftShoulder quaternion X,LeftShoulder quaternion Y,LeftShoulder quaternion Z,LeftUpperArm position X(m),LeftUpperArm position Y(m),LeftUpperArm position Z(m),LeftUpperArm quaternion W,LeftUpperArm quaternion X,LeftUpperArm quaternion Y,LeftUpperArm quaternion Z,LeftLowerArm position X(m),LeftLowerArm position Y(m),LeftLowerArm position Z(m),LeftLowerArm quaternion W,LeftLowerArm quaternion X,LeftLowerArm quaternion Y,LeftLowerArm quaternion Z,LeftHand position X(m),LeftHand position Y(m),LeftHand position Z(m),LeftHand quaternion W,LeftHand quaternion X,LeftHand quaternion Y,LeftHand quaternion Z,Unnamed: 162
904291,0.0,0.0,1.11335,-0.6746,0.0286,-0.0128,0.7374,-0.014474000000000098,-0.10627600000000004,1.028154,-0.8469,0.0124,-0.0364,0.5303,-0.0485850000000001,-0.09824899999999981,0.573531,-0.8228,0.0098,-0.0419,0.5666,-0.08597100000000002,-0.08360699999999999,0.108313,-0.4612,0.0139,-0.0267,0.8867,0.008961999999999914,-0.15017899999999984,0.02119,-0.4612,0.0139,-0.0267,0.8867,0.004010999999999987,0.10280700000000009,1.022923,-0.7045,0.043,-0.0298,0.7076,-0.04288500000000006,0.0944100000000001,0.569531,-0.6716,0.0557,-0.042,0.7375,-0.10759800000000008,0.08840200000000009,0.10716,-0.6122,0.0154,-0.0199,0.7902,0.005500999999999978,0.059223000000000026,0.021187,-0.6122,0.0154,-0.0199,0.7902,0.005766999999999856,0.0019120000000001358,1.210143,-0.6481,0.0236,-0.0066,0.7611,0.01074799999999998,0.004213000000000022,1.321998,-0.6155,0.0176,0.0006,0.7879,0.014014999999999889,0.006949000000000094,1.442915,-0.579,0.0112,0.0084,0.8151,0.026341999999999866,0.006118000000000068,1.559857,-0.5412,0.0047,0.0163,0.8407,0.014251000000000014,0.014981000000000133,1.679516,-0.6651,-0.0067,0.0218,0.7463,0.010350999999999999,0.01734300000000011,1.779396,-0.758,-0.0163,0.0261,0.6514,-0.005261000000000182,-0.032200000000000006,1.600817,-0.6871,-0.0063,0.0016,0.7265,-0.013944000000000178,-0.1879470000000001,1.599732,-0.3088,-0.6353,-0.2918,0.6447,-0.014415999999999984,-0.1950449999999997,1.340895,-0.425,-0.5896,-0.3877,0.5668,0.0016809999999998215,-0.20203199999999977,1.057486,-0.0084,0.4951,-0.8456,-0.1988,0.03532299999999999,0.05696200000000018,1.598313,0.3861,0.0008,0.0105,0.9223,0.14478400000000002,-0.05414300000000005,1.599348,-0.3722,0.5873,0.3696,0.6162,0.15329199999999998,-0.04777999999999971,1.340628,-0.2253,0.6563,0.2233,0.6845,0.16377599999999992,-0.043425999999999965,1.056885,0.6699,-0.0074,-0.1535,0.7263,
904301,1.4999999999876223e-05,-0.0004119999999998569,1.113449,-0.674593,0.028728,-0.012674,0.737522,-0.014477999999999991,-0.10672799999999971,1.028281,-0.846824,0.012147,-0.036429,0.530485,-0.04848500000000011,-0.09848600000000007,0.573681,-0.822732,0.009574,-0.042003,0.566794,-0.08582500000000004,-0.08360899999999982,0.108481,-0.461008,0.014128,-0.027183,0.886867,0.009000999999999815,-0.1501729999999999,0.021234,-0.461008,0.014128,-0.027183,0.886867,0.004041999999999879,0.10237400000000019,1.022974,-0.704539,0.042802,-0.029955,0.707739,-0.04282700000000017,0.09420700000000015,0.569513,-0.671667,0.055452,-0.042104,0.737574,-0.10742800000000008,0.08842700000000003,0.107134,-0.612246,0.015528,-0.020102,0.790259,0.005633999999999917,0.05926200000000015,0.021105,-0.612246,0.015528,-0.020102,0.790259,0.005784000000000011,0.0015340000000001464,1.210252,-0.648113,0.023728,-0.006574,0.761146,0.010782999999999987,0.003858000000000139,1.322102,-0.615425,0.017828,0.000627,0.787993,0.014089000000000018,0.006632000000000193,1.443005,-0.578887,0.011328,0.008527,0.815284,0.026422999999999863,0.00583800000000001,1.559951,-0.541036,0.004827,0.016402,0.840825,0.014349999999999863,0.014741000000000115,1.679584,-0.665031,-0.006601,0.021929,0.746465,0.01044899999999993,0.01713700000000018,1.779462,-0.758001,-0.016301,0.026201,0.651524,-0.005186000000000135,-0.032445999999999975,1.600917,-0.686986,-0.006427,0.001727,0.72664,-0.013925000000000187,-0.1881919999999997,1.59983,-0.308609,-0.635373,-0.291607,0.645001,-0.014474000000000098,-0.19532499999999975,1.340989,-0.424949,-0.589569,-0.387745,0.566993,0.0015239999999998588,-0.2023330000000001,1.057593,-0.0083,0.495002,-0.845777,-0.198912,0.03542599999999996,0.0566810000000002,1.598383,0.386763,0.001054,0.010728,0.922116,0.14473899999999995,-0.054578000000000015,1.599374,-0.37186,0.587845,0.369287,0.616268,0.15310699999999988,-0.048320999999999836,1.340642,-0.225175,0.656637,0.223102,0.68436,0.16339799999999993,-0.044003000000000014,1.056933,0.670214,-0.007374,-0.153233,0.726139,
904311,4.599999999999049e-05,-0.0006219999999999004,1.113519,-0.674552,0.028834,-0.012601,0.737557,-0.014461999999999975,-0.10694799999999982,1.028388,-0.846689,0.011969,-0.036534,0.530697,-0.048462000000000005,-0.09850899999999974,0.573792,-0.822577,0.0095,-0.04197,0.567024,-0.08573399999999998,-0.08358200000000005,0.108568,-0.460907,0.014265,-0.027498,0.886907,0.009027999999999814,-0.15012799999999982,0.021243,-0.460907,0.014265,-0.027498,0.886907,0.004078000000000026,0.1021310000000002,1.023026,-0.704535,0.042802,-0.030133,0.707736,-0.04290600000000011,0.09407900000000002,0.569571,-0.671674,0.055274,-0.042105,0.737581,-0.10738500000000006,0.08841100000000002,0.107182,-0.612245,0.015633,-0.020133,0.790257,0.005660999999999916,0.05923900000000004,0.021132,-0.612245,0.015633,-0.020133,0.790257,0.005819999999999936,0.0013480000000001269,1.210312,-0.648053,0.023866,-0.006469,0.761194,0.01082699999999992,0.003710000000000102,1.322157,-0.615343,0.017933,0.000732,0.788055,0.014137999999999984,0.0065190000000001636,1.443062,-0.578754,0.011465,0.008633,0.815376,0.026481999999999895,0.005759999999999987,1.560002,-0.540914,0.004964,0.016433,0.840903,0.014433999999999836,0.01469100000000001,1.679644,-0.664973,-0.006537,0.022002,0.746514,0.010532999999999904,0.017106000000000066,1.779516,-0.757969,-0.01627,0.026234,0.651559,-0.0051320000000001365,-0.03250999999999982,1.600984,-0.686893,-0.006532,0.0018,0.726727,-0.013910000000000089,-0.18824699999999983,1.599889,-0.308473,-0.635377,-0.291503,0.64511,-0.014501000000000097,-0.19538599999999984,1.341051,-0.424903,-0.589549,-0.3877,0.567079,0.001462999999999992,-0.20241999999999982,1.057634,-0.008268,0.494892,-0.845842,-0.19891,0.03550900000000001,0.05661100000000019,1.598424,0.387285,0.001264,0.010833,0.921896,0.14469699999999985,-0.05477399999999988,1.59937,-0.371544,0.588126,0.369107,0.616297,0.15301599999999982,-0.04861099999999996,1.340632,-0.224995,0.656841,0.223026,0.684249,0.16320199999999985,-0.04437499999999983,1.056913,0.670378,-0.007269,-0.152947,0.72605,
904322,9.599999999987396e-05,-0.0007319999999999549,1.113573,-0.67455,0.028925,-0.012578,0.737555,-0.014421000000000017,-0.10707299999999997,1.028459,-0.846535,0.011901,-0.036603,0.53094,-0.048436000000000146,-0.09853899999999993,0.573896,-0.822394,0.009478,-0.041902,0.567294,-0.08564000000000016,-0.08361799999999975,0.108664,-0.460777,0.014423,-0.027769,0.886964,0.009062999999999821,-0.15016800000000008,0.02126,-0.460777,0.014423,-0.027769,0.886964,0.004117999999999844,0.10200600000000004,1.023064,-0.704556,0.042802,-0.030246,0.707711,-0.04293900000000006,0.09402600000000017,0.569612,-0.671713,0.055183,-0.042104,0.737552,-0.10735500000000009,0.08841100000000002,0.107205,-0.612218,0.015701,-0.020224,0.790275,0.005670999999999982,0.059237000000000206,0.021128,-0.612218,0.015701,-0.020224,0.790275,0.005879999999999885,0.0012530000000001706,1.210366,-0.648004,0.024023,-0.0064,0.761231,0.010904999999999943,0.0036480000000000956,1.322219,-0.615328,0.018024,0.0008,0.788065,0.014221999999999957,0.006484000000000156,1.44312,-0.578727,0.011623,0.008701,0.815392,0.026586999999999916,0.005758000000000152,1.560059,-0.540833,0.005123,0.016524,0.840952,0.014560999999999824,0.01473100000000005,1.679706,-0.66494,-0.006378,0.022001,0.746545,0.010682999999999998,0.017167000000000154,1.779589,-0.757969,-0.016179,0.026302,0.651559,-0.005029000000000172,-0.0324939999999998,1.601061,-0.686857,-0.006601,0.0018,0.72676,-0.013821000000000083,-0.18821599999999994,1.599951,-0.30832,-0.635387,-0.291418,0.645211,-0.01445300000000005,-0.19534600000000002,1.341121,-0.424804,-0.589567,-0.387622,0.567187,0.0014739999999999753,-0.20239499999999988,1.057721,-0.008178,0.494798,-0.845896,-0.198917,0.03563099999999997,0.05662200000000017,1.598466,0.387734,0.001468,0.010923,0.921706,0.14471299999999987,-0.05487199999999981,1.599365,-0.371286,0.588294,0.369008,0.616352,0.15302899999999986,-0.04878199999999988,1.340614,-0.224918,0.657021,0.222996,0.684111,0.16310099999999994,-0.044605000000000006,1.056869,0.670458,-0.007178,-0.152763,0.726016,
904332,0.0001689999999998637,-0.0008369999999999767,1.113631,-0.674521,0.029029,-0.012474,0.737579,-0.014356000000000035,-0.1072019999999998,1.028548,-0.846268,0.011874,-0.036629,0.531364,-0.048375999999999975,-0.09861699999999973,0.573952,-0.822139,0.009401,-0.041902,0.567665,-0.08553200000000016,-0.08362099999999972,0.108726,-0.460577,0.014528,-0.028055,0.887058,0.009098999999999968,-0.15017400000000003,0.021255,-0.460577,0.014528,-0.028055,0.887058,0.0041959999999998665,0.10187600000000008,1.02309,-0.704669,0.042829,-0.030428,0.707589,-0.04299200000000014,0.09398800000000018,0.569661,-0.671868,0.055077,-0.042103,0.737419,-0.10733800000000016,0.0884250000000002,0.107207,-0.61213,0.015727,-0.020328,0.790339,0.005670999999999982,0.059236000000000066,0.021104,-0.61213,0.015727,-0.020328,0.790339,0.005954000000000015,0.0011770000000002057,1.210423,-0.647958,0.024102,-0.006374,0.761268,0.010987999999999998,0.0035880000000001466,1.322264,-0.615266,0.018129,0.000827,0.788111,0.014321999999999946,0.006444000000000116,1.443159,-0.578638,0.011727,0.008727,0.815453,0.02670299999999992,0.005735000000000046,1.560101,-0.540813,0.005254,0.016601,0.840962,0.014692999999999845,0.014740000000000197,1.679744,-0.66494,-0.006274,0.022028,0.746545,0.010827999999999838,0.017194000000000154,1.779627,-0.757995,-0.016075,0.026276,0.651532,-0.004909000000000052,-0.032503999999999866,1.601117,-0.686844,-0.0066,0.0018,0.726773,-0.013707000000000136,-0.18823199999999995,1.600006,-0.308214,-0.635411,-0.291312,0.645286,-0.014357000000000175,-0.19536899999999968,1.341174,-0.42464,-0.589619,-0.387534,0.567316,0.0015249999999999986,-0.202415,1.057795,-0.008101,0.494597,-0.846013,-0.19892,0.03575399999999984,0.05660799999999999,1.598491,0.388227,0.001753,0.011027,0.921496,0.14471699999999998,-0.05500499999999975,1.599323,-0.371075,0.588499,0.368902,0.616347,0.15298899999999982,-0.04899000000000009,1.340565,-0.224888,0.657296,0.222888,0.683892,0.1628639999999999,-0.04484699999999986,1.056804,0.670577,-0.007047,-0.152532,0.725955,
904343,0.0002369999999998207,-0.0009459999999998914,1.113671,-0.674444,0.029102,-0.012401,0.737648,-0.014310000000000045,-0.10732800000000009,1.02861,-0.845953,0.011772,-0.036702,0.531863,-0.04833300000000018,-0.09860899999999995,0.574004,-0.821779,0.009401,-0.041931,0.568184,-0.08550000000000013,-0.08357499999999995,0.108801,-0.460424,0.01463,-0.028259,0.887129,0.009066000000000018,-0.1501309999999998,0.021285,-0.460424,0.01463,-0.028259,0.887129,0.004284999999999872,0.10174700000000003,1.023107,-0.70483,0.042904,-0.030559,0.707418,-0.043030000000000124,0.093885,0.569733,-0.672006,0.054976,-0.042131,0.737299,-0.10732200000000014,0.08839300000000017,0.107283,-0.612128,0.015829,-0.020429,0.790336,0.005662999999999974,0.05920700000000001,0.021146,-0.612128,0.015829,-0.020429,0.790336,0.0060229999999998896,0.0010860000000001424,1.210464,-0.647928,0.02413,-0.006301,0.761293,0.01105199999999984,0.003514000000000017,1.322306,-0.615211,0.018257,0.0009,0.78815,0.014398999999999829,0.0064030000000001586,1.44321,-0.578618,0.011857,0.008801,0.815465,0.026794999999999902,0.005725000000000202,1.560148,-0.540748,0.005429,0.01663,0.841003,0.014817999999999998,0.014760000000000106,1.679788,-0.664954,-0.006144,0.022102,0.746532,0.010961999999999916,0.0172420000000002,1.779666,-0.758066,-0.015945,0.026202,0.651456,-0.004811000000000121,-0.032497999999999916,1.601179,-0.686821,-0.0066,0.0018,0.726794,-0.013619000000000048,-0.18823499999999993,1.600068,-0.308112,-0.635482,-0.29121,0.645311,-0.014256000000000046,-0.1953659999999997,1.341234,-0.424526,-0.589648,-0.38745,0.567429,0.001590999999999898,-0.20242399999999994,1.057838,-0.008073,0.49442,-0.846111,-0.198947,0.035863999999999896,0.0566040000000001,1.598522,0.388644,0.001956,0.011101,0.921319,0.14471899999999982,-0.055100999999999845,1.599306,-0.3709,0.588673,0.3688,0.616347,0.1529529999999999,-0.049143999999999854,1.340545,-0.224824,0.657553,0.222823,0.683687,0.16265099999999988,-0.045060999999999796,1.056799,0.670665,-0.006844,-0.152224,0.72594,
904353,0.00029400000000001647,-0.00107899999999983,1.113707,-0.67442,0.029125,-0.012401,0.737669,-0.014263000000000137,-0.10746299999999986,1.028649,-0.845652,0.011701,-0.036725,0.532341,-0.04826300000000017,-0.09865799999999969,0.574051,-0.821456,0.009378,-0.042002,0.568646,-0.08546500000000012,-0.08354700000000004,0.108833,-0.460308,0.014724,-0.028425,0.887182,0.009063999999999961,-0.15011599999999992,0.021266,-0.460308,0.014724,-0.028425,0.887182,0.004344999999999821,0.10161200000000004,1.023139,-0.705039,0.042904,-0.030726,0.707203,-0.04307400000000006,0.09384300000000012,0.56977,-0.672218,0.054881,-0.042203,0.737109,-0.10734500000000002,0.08844200000000013,0.107315,-0.612112,0.015901,-0.020524,0.790345,0.005616999999999983,0.05925800000000003,0.021152,-0.612112,0.015901,-0.020524,0.790345,0.0060829999999998385,0.0009570000000000967,1.2105,-0.647849,0.024225,-0.0063,0.761357,0.011128000000000027,0.003398000000000012,1.322343,-0.615165,0.018425,0.0009,0.788183,0.014507999999999965,0.006312000000000095,1.443235,-0.578569,0.012024,0.008801,0.815497,0.026934000000000013,0.005655000000000188,1.560161,-0.540698,0.005568,0.016678,0.841033,0.014978999999999854,0.014720000000000066,1.679813,-0.665003,-0.005955,0.022103,0.74649,0.011150999999999911,0.017227000000000103,1.779684,-0.758088,-0.015779,0.026225,0.651434,-0.0046720000000000095,-0.032557999999999865,1.601211,-0.686857,-0.006578,0.001777,0.72676,-0.013464000000000143,-0.18828,1.600101,-0.308018,-0.635484,-0.291139,0.645386,-0.014129999999999976,-0.1954149999999999,1.341269,-0.424427,-0.589569,-0.387445,0.567589,0.0016169999999999796,-0.20249899999999976,1.05786,-0.008001,0.494312,-0.846159,-0.199014,0.036016999999999966,0.05654600000000021,1.598526,0.389052,0.002168,0.011124,0.921146,0.14476899999999993,-0.05525200000000008,1.599253,-0.370808,0.588771,0.36873,0.616351,0.15297799999999984,-0.049320999999999726,1.340493,-0.224844,0.657832,0.222799,0.68342,0.16246300000000002,-0.04528999999999983,1.056735,0.670747,-0.006655,-0.151937,0.725926,
904363,0.0003529999999998257,-0.001258999999999899,1.113734,-0.674338,0.029202,-0.012422,0.737741,-0.014239000000000113,-0.10764799999999997,1.028686,-0.845312,0.01168,-0.036803,0.532876,-0.04828100000000002,-0.09876799999999997,0.574127,-0.821104,0.009301,-0.042025,0.569154,-0.08544900000000011,-0.08356399999999975,0.108935,-0.460197,0.014801,-0.028522,0.887235,0.009050000000000002,-0.15015099999999992,0.021334,-0.460197,0.014801,-0.028522,0.887235,0.004413999999999918,0.1014250000000001,1.023157,-0.705322,0.042904,-0.030845,0.706915,-0.04308000000000001,0.09371499999999999,0.569777,-0.672492,0.05476,-0.042223,0.736867,-0.10728300000000002,0.08837900000000021,0.107282,-0.612062,0.015923,-0.020602,0.790381,0.005653999999999826,0.05919200000000013,0.021109,-0.612062,0.015923,-0.020602,0.790381,0.006156999999999968,0.0007830000000002002,1.210528,-0.647847,0.024323,-0.0063,0.761356,0.01121799999999995,0.003238000000000074,1.32237,-0.615164,0.018523,0.0009,0.788181,0.01461699999999988,0.0061670000000000336,1.443262,-0.578558,0.012144,0.00878,0.815503,0.02706900000000001,0.005522000000000027,1.560189,-0.540644,0.005843,0.016601,0.841068,0.015180999999999889,0.014608000000000176,1.679836,-0.665047,-0.0058,0.022102,0.746452,0.01137599999999983,0.017135000000000122,1.779718,-0.758168,-0.015723,0.026324,0.651337,-0.004518000000000022,-0.032676999999999845,1.60126,-0.686858,-0.006479,0.0017,0.726761,-0.013310000000000155,-0.18839899999999976,1.600155,-0.307944,-0.635491,-0.291142,0.645413,-0.01399499999999998,-0.195511,1.341328,-0.424345,-0.589541,-0.387441,0.567681,0.0016939999999998623,-0.20259799999999983,1.05791,-0.007958,0.494245,-0.846198,-0.199018,0.03617899999999996,0.056414000000000186,1.598538,0.389522,0.002464,0.011201,0.920946,0.14481699999999997,-0.05549599999999999,1.599191,-0.370709,0.588869,0.368709,0.616329,0.15300399999999992,-0.049613999999999825,1.34043,-0.224915,0.658085,0.222714,0.68318,0.16228299999999996,-0.045585999999999904,1.056647,0.670821,-0.006458,-0.151641,0.725922,
904374,0.0004169999999998897,-0.001546999999999965,1.113753,-0.674337,0.029202,-0.012534,0.73774,-0.014189000000000007,-0.10792200000000007,1.028689,-0.844943,0.011567,-0.036835,0.533461,-0.048198000000000185,-0.09891599999999978,0.574095,-0.820745,0.009234,-0.042136,0.569664,-0.08540700000000001,-0.08357699999999979,0.108884,-0.460094,0.014801,-0.028602,0.887286,0.009066000000000018,-0.15017199999999975,0.021271,-0.460094,0.014801,-0.028602,0.887286,0.004464999999999941,0.10115300000000005,1.023192,-0.705598,0.042869,-0.031068,0.706632,-0.04315000000000002,0.09358900000000014,0.569789,-0.672847,0.05457,-0.042336,0.736551,-0.10728800000000005,0.08842000000000017,0.107308,-0.612061,0.016002,-0.020635,0.790379,0.005634999999999835,0.0592290000000002,0.021117,-0.612061,0.016002,-0.020635,0.790379,0.0062349999999999905,0.0004790000000001182,1.210547,-0.647846,0.024402,-0.006334,0.761354,0.011314999999999964,0.0029400000000001647,1.322389,-0.615146,0.018635,0.000867,0.788192,0.014739999999999975,0.00587900000000019,1.443286,-0.57852,0.012334,0.0087,0.815528,0.02724099999999985,0.005243000000000109,1.560224,-0.540643,0.006067,0.016601,0.841067,0.015398000000000023,0.014358000000000093,1.679874,-0.665046,-0.005767,0.022135,0.746452,0.011592999999999964,0.016896000000000022,1.779755,-0.758218,-0.015835,0.026436,0.651273,-0.004331000000000085,-0.032945,1.601316,-0.686893,-0.006334,0.001667,0.726729,-0.013109000000000037,-0.18866699999999992,1.600237,-0.307895,-0.635459,-0.29116,0.64546,-0.013830000000000009,-0.19576999999999978,1.341383,-0.42434,-0.589423,-0.38747,0.567787,0.0017779999999998353,-0.20289800000000002,1.057956,-0.007767,0.494223,-0.846206,-0.199043,0.03636499999999998,0.05614500000000011,1.598557,0.390011,0.0028,0.011235,0.920737,0.14488099999999982,-0.055878000000000094,1.599119,-0.37065,0.589013,0.368616,0.616283,0.15300199999999986,-0.05002299999999971,1.340383,-0.224956,0.658367,0.222689,0.682903,0.1620579999999998,-0.046041,1.056613,0.670887,-0.0062,-0.151345,0.725925,
904384,0.0004499999999998394,-0.0018759999999999888,1.11376,-0.674336,0.029202,-0.012632,0.737739,-0.01416700000000004,-0.10823899999999997,1.028682,-0.844727,0.011438,-0.036934,0.533799,-0.048184000000000005,-0.09907199999999983,0.574108,-0.820488,0.009069,-0.042234,0.570029,-0.08537400000000006,-0.08353800000000011,0.108909,-0.45999,0.014801,-0.028601,0.88734,0.009085999999999927,-0.150158,0.021293,-0.45999,0.014801,-0.028601,0.88734,0.004486999999999908,0.10083700000000007,1.023213,-0.705859,0.042741,-0.031234,0.706372,-0.04314600000000013,0.093445,0.569852,-0.673138,0.054441,-0.042465,0.736286,-0.10727400000000009,0.08842100000000008,0.107366,-0.61208,0.016001,-0.020702,0.790363,0.005647999999999875,0.059244000000000074,0.021159,-0.61208,0.016001,-0.020702,0.790363,0.006280999999999981,0.000136000000000136,1.210553,-0.647845,0.024433,-0.006432,0.761353,0.011380999999999863,0.0025850000000000595,1.322395,-0.615113,0.018732,0.000769,0.788216,0.014838999999999825,0.005520000000000191,1.443305,-0.578519,0.012463,0.008669,0.815527,0.027368999999999977,0.004895000000000094,1.56024,-0.540643,0.006232,0.01657,0.841066,0.015562999999999994,0.014026000000000094,1.679892,-0.665045,-0.0057,0.022202,0.746451,0.011759999999999993,0.016582000000000097,1.779773,-0.758243,-0.015901,0.026564,0.651237,-0.004190000000000138,-0.033287999999999984,1.601346,-0.686994,-0.006107,0.001569,0.726635,-0.012925000000000075,-0.18901100000000004,1.600298,-0.307832,-0.635435,-0.291262,0.645467,-0.013681999999999972,-0.19606299999999988,1.341449,-0.424333,-0.589283,-0.387561,0.567876,0.0018289999999998585,-0.2032100000000001,1.058008,-0.007638,0.494245,-0.846177,-0.199118,0.03650599999999993,0.05580200000000013,1.598563,0.390495,0.003094,0.011332,0.92053,0.14490499999999984,-0.056338,1.599055,-0.370615,0.589136,0.368515,0.616246,0.15296500000000002,-0.05049399999999982,1.340312,-0.225016,0.658608,0.222584,0.682685,0.16182600000000003,-0.046507999999999994,1.056518,0.670997,-0.005938,-0.151121,0.725872,
904395,0.0004409999999999137,-0.0022169999999999135,1.11376,-0.674346,0.029202,-0.012744,0.737728,-0.014186000000000032,-0.10856299999999997,1.028669,-0.844628,0.011257,-0.037024,0.533953,-0.04818300000000009,-0.0992059999999999,0.574089,-0.820345,0.008957,-0.042324,0.570231,-0.0853790000000001,-0.08352999999999988,0.108887,-0.45991,0.014779,-0.02858,0.887382,0.009068999999999994,-0.1501650000000001,0.021282,-0.45991,0.014779,-0.02858,0.887382,0.004461999999999966,0.10050800000000004,1.023232,-0.706111,0.042582,-0.031325,0.706125,-0.04312400000000016,0.09326000000000012,0.569868,-0.673367,0.054259,-0.042623,0.736082,-0.10722900000000002,0.08843900000000016,0.107346,-0.612122,0.016022,-0.020722,0.790329,0.005700999999999956,0.05927300000000013,0.021125,-0.612122,0.016022,-0.020722,0.790329,0.0062869999999999315,-0.00022099999999980469,1.21055,-0.647844,0.024502,-0.006544,0.761351,0.011414999999999953,0.002219000000000193,1.322391,-0.615122,0.018801,0.000678,0.788207,0.014899999999999913,0.005147000000000013,1.443296,-0.578519,0.012622,0.008579,0.815526,0.02747199999999994,0.00452700000000017,1.560227,-0.540643,0.006344,0.016501,0.841067,0.01569699999999985,0.01365800000000017,1.679882,-0.665045,-0.0057,0.022223,0.746451,0.011890999999999874,0.016217000000000148,1.779763,-0.75825,-0.015944,0.026723,0.651221,-0.004077000000000108,-0.03365599999999991,1.601342,-0.687088,-0.005857,0.001478,0.726549,-0.012772000000000006,-0.1893800000000001,1.600331,-0.307838,-0.635356,-0.291401,0.645479,-0.013579000000000008,-0.19640199999999974,1.341491,-0.424342,-0.589114,-0.38766,0.567977,0.001822999999999908,-0.203581,1.058056,-0.007436,0.494244,-0.846175,-0.199139,0.03661899999999996,0.055434000000000205,1.598548,0.390925,0.003344,0.011401,0.920346,0.144914,-0.056809999999999805,1.598978,-0.370526,0.589319,0.368426,0.616179,0.15289599999999992,-0.05101499999999981,1.340233,-0.224997,0.658799,0.222497,0.682536,0.16161999999999987,-0.0470459999999997,1.056442,0.671084,-0.005779,-0.150871,0.725845,
