time(ms),Hips position X(m),Hips position Y(m),Hips position Z(m),Hips quaternion W,Hips quaternion X,Hips quaternion Y,Hips quaternion Z,RightUpperLeg position X(m),RightUpperLeg position Y(m),RightUpperLeg position Z(m),RightUpperLeg quaternion W,RightUpperLeg quaternion X,RightUpperLeg quaternion Y,RightUpperLeg quaternion Z,RightLowerLeg position X(m),RightLowerLeg position Y(m),RightLowerLeg position Z(m),RightLowerLeg quaternion W,RightLowerLeg quaternion X,RightLowerLeg quaternion Y,RightLowerLeg quaternion Z,RightFoot position X(m),RightFoot position Y(m),RightFoot position Z(m),RightFoot quaternion W,RightFoot quaternion X,RightFoot quaternion Y,RightFoot quaternion Z,RightToe position X(m),RightToe position Y(m),RightToe position Z(m),RightToe quaternion W,RightToe quaternion X,RightToe quaternion Y,RightToe quaternion Z,LeftUpperLeg position X(m),LeftUpperLeg position Y(m),LeftUpperLeg position Z(m),LeftUpperLeg quaternion W,LeftUpperLeg quaternion X,LeftUpperLeg quaternion Y,LeftUpperLeg quaternion Z,LeftLowerLeg position X(m),LeftLowerLeg position Y(m),LeftLowerLeg position Z(m),LeftLowerLeg quaternion W,LeftLowerLeg quaternion X,LeftLowerLeg quaternion Y,LeftLowerLeg quaternion Z,LeftFoot position X(m),LeftFoot position Y(m),LeftFoot position Z(m),LeftFoot quaternion W,LeftFoot quaternion X,LeftFoot quaternion Y,LeftFoot quaternion Z,LeftToe position X(m),LeftToe position Y(m),LeftToe position Z(m),LeftToe quaternion W,LeftToe quaternion X,LeftToe quaternion Y,LeftToe quaternion Z,Spine position X(m),Spine position Y(m),Spine position Z(m),Spine quaternion W,Spine quaternion X,Spine quaternion Y,Spine quaternion Z,Spine1 position X(m),Spine1 position Y(m),Spine1 position Z(m),Spine1 quaternion W,Spine1 quaternion X,Spine1 quaternion Y,Spine1 quaternion Z,Spine2 position X(m),Spine2 position Y(m),Spine2 position Z(m),Spine2 quaternion W,Spine2 quaternion X,Spine2 quaternion Y,Spine2 quaternion Z,Spine3 position X(m),Spine3 position Y(m),Spine3 position Z(m),Spine3 quaternion W,Spine3 quaternion X,Spine3 quaternion Y,Spine3 quaternion Z,Neck position X(m),Neck position Y(m),Neck position Z(m),Neck quaternion W,Neck quaternion X,Neck quaternion Y,Neck quaternion Z,Head position X(m),Head position Y(m),Head position Z(m),Head quaternion W,Head quaternion X,Head quaternion Y,Head quaternion Z,RightShoulder position X(m),RightShoulder position Y(m),RightShoulder position Z(m),RightShoulder quaternion W,RightShoulder quaternion X,RightShoulder quaternion Y,RightShoulder quaternion Z,RightUpperArm position X(m),RightUpperArm position Y(m),RightUpperArm position Z(m),RightUpperArm quaternion W,RightUpperArm quaternion X,RightUpperArm quaternion Y,RightUpperArm quaternion Z,RightLowerArm position X(m),RightLowerArm position Y(m),RightLowerArm position Z(m),RightLowerArm quaternion W,RightLowerArm quaternion X,RightLowerArm quaternion Y,RightLowerArm quaternion Z,RightHand position X(m),RightHand position Y(m),RightHand position Z(m),RightHand quaternion W,RightHand quaternion X,RightHand quaternion Y,RightHand quaternion Z,LeftShoulder position X(m),LeftShoulder position Y(m),LeftShoulder position Z(m),LeftShoulder quaternion W,LeftShoulder quaternion X,LeftShoulder quaternion Y,LeftShoulder quaternion Z,LeftUpperArm position X(m),LeftUpperArm position Y(m),LeftUpperArm position Z(m),LeftUpperArm quaternion W,LeftUpperArm quaternion X,LeftUpperArm quaternion Y,LeftUpperArm quaternion Z,LeftLowerArm position X(m),LeftLowerArm position Y(m),LeftLowerArm position Z(m),LeftLowerArm quaternion W,LeftLowerArm quaternion X,LeftLowerArm quaternion Y,LeftLowerArm quaternion Z,LeftHand position X(m),LeftHand position Y(m),LeftHand position Z(m),LeftHand quaternion W,LeftHand quaternion X,LeftHand quaternion Y,LeftHand quaternion Z,
904291,-1.652510,-1.954970,1.113350,-0.674600,0.028600,-0.012800,0.737400,-1.666984,-2.061246,1.028154,-0.846900,0.012400,-0.036400,0.530300,-1.701095,-2.053219,0.573531,-0.822800,0.009800,-0.041900,0.566600,-1.738481,-2.038577,0.108313,-0.461200,0.013900,-0.026700,0.886700,-1.643548,-2.105149,0.021190,-0.461200,0.013900,-0.026700,0.886700,-1.648499,-1.852163,1.022923,-0.704500,0.043000,-0.029800,0.707600,-1.695395,-1.860560,0.569531,-0.671600,0.055700,-0.042000,0.737500,-1.760108,-1.866568,0.107160,-0.612200,0.015400,-0.019900,0.790200,-1.647009,-1.895747,0.021187,-0.612200,0.015400,-0.019900,0.790200,-1.646743,-1.953058,1.210143,-0.648100,0.023600,-0.006600,0.761100,-1.641762,-1.950757,1.321998,-0.615500,0.017600,0.000600,0.787900,-1.638495,-1.948021,1.442915,-0.579000,0.011200,0.008400,0.815100,-1.626168,-1.948852,1.559857,-0.541200,0.004700,0.016300,0.840700,-1.638259,-1.939989,1.679516,-0.665100,-0.006700,0.021800,0.746300,-1.642159,-1.937627,1.779396,-0.758000,-0.016300,0.026100,0.651400,-1.657771,-1.987170,1.600817,-0.687100,-0.006300,0.001600,0.726500,-1.666454,-2.142917,1.599732,-0.308800,-0.635300,-0.291800,0.644700,-1.666926,-2.150015,1.340895,-0.425000,-0.589600,-0.387700,0.566800,-1.650829,-2.157002,1.057486,-0.008400,0.495100,-0.845600,-0.198800,-1.617187,-1.898008,1.598313,0.386100,0.000800,0.010500,0.922300,-1.507726,-2.009113,1.599348,-0.372200,0.587300,0.369600,0.616200,-1.499218,-2.002750,1.340628,-0.225300,0.656300,0.223300,0.684500,-1.488734,-1.998396,1.056885,0.669900,-0.007400,-0.153500,0.726300,
904301,-1.652495,-1.955382,1.113449,-0.674593,0.028728,-0.012674,0.737522,-1.666988,-2.061698,1.028281,-0.846824,0.012147,-0.036429,0.530485,-1.700995,-2.053456,0.573681,-0.822732,0.009574,-0.042003,0.566794,-1.738335,-2.038579,0.108481,-0.461008,0.014128,-0.027183,0.886867,-1.643509,-2.105143,0.021234,-0.461008,0.014128,-0.027183,0.886867,-1.648468,-1.852596,1.022974,-0.704539,0.042802,-0.029955,0.707739,-1.695337,-1.860763,0.569513,-0.671667,0.055452,-0.042104,0.737574,-1.759938,-1.866543,0.107134,-0.612246,0.015528,-0.020102,0.790259,-1.646876,-1.895708,0.021105,-0.612246,0.015528,-0.020102,0.790259,-1.646726,-1.953436,1.210252,-0.648113,0.023728,-0.006574,0.761146,-1.641727,-1.951112,1.322102,-0.615425,0.017828,0.000627,0.787993,-1.638421,-1.948338,1.443005,-0.578887,0.011328,0.008527,0.815284,-1.626087,-1.949132,1.559951,-0.541036,0.004827,0.016402,0.840825,-1.638160,-1.940229,1.679584,-0.665031,-0.006601,0.021929,0.746465,-1.642061,-1.937833,1.779462,-0.758001,-0.016301,0.026201,0.651524,-1.657696,-1.987416,1.600917,-0.686986,-0.006427,0.001727,0.726640,-1.666435,-2.143162,1.599830,-0.308609,-0.635373,-0.291607,0.645001,-1.666984,-2.150295,1.340989,-0.424949,-0.589569,-0.387745,0.566993,-1.650986,-2.157303,1.057593,-0.008300,0.495002,-0.845777,-0.198912,-1.617084,-1.898289,1.598383,0.386763,0.001054,0.010728,0.922116,-1.507771,-2.009548,1.599374,-0.371860,0.587845,0.369287,0.616268,-1.499403,-2.003291,1.340642,-0.225175,0.656637,0.223102,0.684360,-1.489112,-1.998973,1.056933,0.670214,-0.007374,-0.153233,0.726139,
904311,-1.652464,-1.955592,1.113519,-0.674552,0.028834,-0.012601,0.737557,-1.666972,-2.061918,1.028388,-0.846689,0.011969,-0.036534,0.530697,-1.700972,-2.053479,0.573792,-0.822577,0.009500,-0.041970,0.567024,-1.738244,-2.038552,0.108568,-0.460907,0.014265,-0.027498,0.886907,-1.643482,-2.105098,0.021243,-0.460907,0.014265,-0.027498,0.886907,-1.648432,-1.852839,1.023026,-0.704535,0.042802,-0.030133,0.707736,-1.695416,-1.860891,0.569571,-0.671674,0.055274,-0.042105,0.737581,-1.759895,-1.866559,0.107182,-0.612245,0.015633,-0.020133,0.790257,-1.646849,-1.895731,0.021132,-0.612245,0.015633,-0.020133,0.790257,-1.646690,-1.953622,1.210312,-0.648053,0.023866,-0.006469,0.761194,-1.641683,-1.951260,1.322157,-0.615343,0.017933,0.000732,0.788055,-1.638372,-1.948451,1.443062,-0.578754,0.011465,0.008633,0.815376,-1.626028,-1.949210,1.560002,-0.540914,0.004964,0.016433,0.840903,-1.638076,-1.940279,1.679644,-0.664973,-0.006537,0.022002,0.746514,-1.641977,-1.937864,1.779516,-0.757969,-0.016270,0.026234,0.651559,-1.657642,-1.987480,1.600984,-0.686893,-0.006532,0.001800,0.726727,-1.666420,-2.143217,1.599889,-0.308473,-0.635377,-0.291503,0.645110,-1.667011,-2.150356,1.341051,-0.424903,-0.589549,-0.387700,0.567079,-1.651047,-2.157390,1.057634,-0.008268,0.494892,-0.845842,-0.198910,-1.617001,-1.898359,1.598424,0.387285,0.001264,0.010833,0.921896,-1.507813,-2.009744,1.599370,-0.371544,0.588126,0.369107,0.616297,-1.499494,-2.003581,1.340632,-0.224995,0.656841,0.223026,0.684249,-1.489308,-1.999345,1.056913,0.670378,-0.007269,-0.152947,0.726050,
904322,-1.652414,-1.955702,1.113573,-0.674550,0.028925,-0.012578,0.737555,-1.666931,-2.062043,1.028459,-0.846535,0.011901,-0.036603,0.530940,-1.700946,-2.053509,0.573896,-0.822394,0.009478,-0.041902,0.567294,-1.738150,-2.038588,0.108664,-0.460777,0.014423,-0.027769,0.886964,-1.643447,-2.105138,0.021260,-0.460777,0.014423,-0.027769,0.886964,-1.648392,-1.852964,1.023064,-0.704556,0.042802,-0.030246,0.707711,-1.695449,-1.860944,0.569612,-0.671713,0.055183,-0.042104,0.737552,-1.759865,-1.866559,0.107205,-0.612218,0.015701,-0.020224,0.790275,-1.646839,-1.895733,0.021128,-0.612218,0.015701,-0.020224,0.790275,-1.646630,-1.953717,1.210366,-0.648004,0.024023,-0.006400,0.761231,-1.641605,-1.951322,1.322219,-0.615328,0.018024,0.000800,0.788065,-1.638288,-1.948486,1.443120,-0.578727,0.011623,0.008701,0.815392,-1.625923,-1.949212,1.560059,-0.540833,0.005123,0.016524,0.840952,-1.637949,-1.940239,1.679706,-0.664940,-0.006378,0.022001,0.746545,-1.641827,-1.937803,1.779589,-0.757969,-0.016179,0.026302,0.651559,-1.657539,-1.987464,1.601061,-0.686857,-0.006601,0.001800,0.726760,-1.666331,-2.143186,1.599951,-0.308320,-0.635387,-0.291418,0.645211,-1.666963,-2.150316,1.341121,-0.424804,-0.589567,-0.387622,0.567187,-1.651036,-2.157365,1.057721,-0.008178,0.494798,-0.845896,-0.198917,-1.616879,-1.898348,1.598466,0.387734,0.001468,0.010923,0.921706,-1.507797,-2.009842,1.599365,-0.371286,0.588294,0.369008,0.616352,-1.499481,-2.003752,1.340614,-0.224918,0.657021,0.222996,0.684111,-1.489409,-1.999575,1.056869,0.670458,-0.007178,-0.152763,0.726016,
904332,-1.652341,-1.955807,1.113631,-0.674521,0.029029,-0.012474,0.737579,-1.666866,-2.062172,1.028548,-0.846268,0.011874,-0.036629,0.531364,-1.700886,-2.053587,0.573952,-0.822139,0.009401,-0.041902,0.567665,-1.738042,-2.038591,0.108726,-0.460577,0.014528,-0.028055,0.887058,-1.643411,-2.105144,0.021255,-0.460577,0.014528,-0.028055,0.887058,-1.648314,-1.853094,1.023090,-0.704669,0.042829,-0.030428,0.707589,-1.695502,-1.860982,0.569661,-0.671868,0.055077,-0.042103,0.737419,-1.759848,-1.866545,0.107207,-0.612130,0.015727,-0.020328,0.790339,-1.646839,-1.895734,0.021104,-0.612130,0.015727,-0.020328,0.790339,-1.646556,-1.953793,1.210423,-0.647958,0.024102,-0.006374,0.761268,-1.641522,-1.951382,1.322264,-0.615266,0.018129,0.000827,0.788111,-1.638188,-1.948526,1.443159,-0.578638,0.011727,0.008727,0.815453,-1.625807,-1.949235,1.560101,-0.540813,0.005254,0.016601,0.840962,-1.637817,-1.940230,1.679744,-0.664940,-0.006274,0.022028,0.746545,-1.641682,-1.937776,1.779627,-0.757995,-0.016075,0.026276,0.651532,-1.657419,-1.987474,1.601117,-0.686844,-0.006600,0.001800,0.726773,-1.666217,-2.143202,1.600006,-0.308214,-0.635411,-0.291312,0.645286,-1.666867,-2.150339,1.341174,-0.424640,-0.589619,-0.387534,0.567316,-1.650985,-2.157385,1.057795,-0.008101,0.494597,-0.846013,-0.198920,-1.616756,-1.898362,1.598491,0.388227,0.001753,0.011027,0.921496,-1.507793,-2.009975,1.599323,-0.371075,0.588499,0.368902,0.616347,-1.499521,-2.003960,1.340565,-0.224888,0.657296,0.222888,0.683892,-1.489646,-1.999817,1.056804,0.670577,-0.007047,-0.152532,0.725955,
904343,-1.652273,-1.955916,1.113671,-0.674444,0.029102,-0.012401,0.737648,-1.666820,-2.062298,1.028610,-0.845953,0.011772,-0.036702,0.531863,-1.700843,-2.053579,0.574004,-0.821779,0.009401,-0.041931,0.568184,-1.738010,-2.038545,0.108801,-0.460424,0.014630,-0.028259,0.887129,-1.643444,-2.105101,0.021285,-0.460424,0.014630,-0.028259,0.887129,-1.648225,-1.853223,1.023107,-0.704830,0.042904,-0.030559,0.707418,-1.695540,-1.861085,0.569733,-0.672006,0.054976,-0.042131,0.737299,-1.759832,-1.866577,0.107283,-0.612128,0.015829,-0.020429,0.790336,-1.646847,-1.895763,0.021146,-0.612128,0.015829,-0.020429,0.790336,-1.646487,-1.953884,1.210464,-0.647928,0.024130,-0.006301,0.761293,-1.641458,-1.951456,1.322306,-0.615211,0.018257,0.000900,0.788150,-1.638111,-1.948567,1.443210,-0.578618,0.011857,0.008801,0.815465,-1.625715,-1.949245,1.560148,-0.540748,0.005429,0.016630,0.841003,-1.637692,-1.940210,1.679788,-0.664954,-0.006144,0.022102,0.746532,-1.641548,-1.937728,1.779666,-0.758066,-0.015945,0.026202,0.651456,-1.657321,-1.987468,1.601179,-0.686821,-0.006600,0.001800,0.726794,-1.666129,-2.143205,1.600068,-0.308112,-0.635482,-0.291210,0.645311,-1.666766,-2.150336,1.341234,-0.424526,-0.589648,-0.387450,0.567429,-1.650919,-2.157394,1.057838,-0.008073,0.494420,-0.846111,-0.198947,-1.616646,-1.898366,1.598522,0.388644,0.001956,0.011101,0.921319,-1.507791,-2.010071,1.599306,-0.370900,0.588673,0.368800,0.616347,-1.499557,-2.004114,1.340545,-0.224824,0.657553,0.222823,0.683687,-1.489859,-2.000031,1.056799,0.670665,-0.006844,-0.152224,0.725940,
904353,-1.652216,-1.956049,1.113707,-0.674420,0.029125,-0.012401,0.737669,-1.666773,-2.062433,1.028649,-0.845652,0.011701,-0.036725,0.532341,-1.700773,-2.053628,0.574051,-0.821456,0.009378,-0.042002,0.568646,-1.737975,-2.038517,0.108833,-0.460308,0.014724,-0.028425,0.887182,-1.643446,-2.105086,0.021266,-0.460308,0.014724,-0.028425,0.887182,-1.648165,-1.853358,1.023139,-0.705039,0.042904,-0.030726,0.707203,-1.695584,-1.861127,0.569770,-0.672218,0.054881,-0.042203,0.737109,-1.759855,-1.866528,0.107315,-0.612112,0.015901,-0.020524,0.790345,-1.646893,-1.895712,0.021152,-0.612112,0.015901,-0.020524,0.790345,-1.646427,-1.954013,1.210500,-0.647849,0.024225,-0.006300,0.761357,-1.641382,-1.951572,1.322343,-0.615165,0.018425,0.000900,0.788183,-1.638002,-1.948658,1.443235,-0.578569,0.012024,0.008801,0.815497,-1.625576,-1.949315,1.560161,-0.540698,0.005568,0.016678,0.841033,-1.637531,-1.940250,1.679813,-0.665003,-0.005955,0.022103,0.746490,-1.641359,-1.937743,1.779684,-0.758088,-0.015779,0.026225,0.651434,-1.657182,-1.987528,1.601211,-0.686857,-0.006578,0.001777,0.726760,-1.665974,-2.143250,1.600101,-0.308018,-0.635484,-0.291139,0.645386,-1.666640,-2.150385,1.341269,-0.424427,-0.589569,-0.387445,0.567589,-1.650893,-2.157469,1.057860,-0.008001,0.494312,-0.846159,-0.199014,-1.616493,-1.898424,1.598526,0.389052,0.002168,0.011124,0.921146,-1.507741,-2.010222,1.599253,-0.370808,0.588771,0.368730,0.616351,-1.499532,-2.004291,1.340493,-0.224844,0.657832,0.222799,0.683420,-1.490047,-2.000260,1.056735,0.670747,-0.006655,-0.151937,0.725926,
904363,-1.652157,-1.956229,1.113734,-0.674338,0.029202,-0.012422,0.737741,-1.666749,-2.062618,1.028686,-0.845312,0.011680,-0.036803,0.532876,-1.700791,-2.053738,0.574127,-0.821104,0.009301,-0.042025,0.569154,-1.737959,-2.038534,0.108935,-0.460197,0.014801,-0.028522,0.887235,-1.643460,-2.105121,0.021334,-0.460197,0.014801,-0.028522,0.887235,-1.648096,-1.853545,1.023157,-0.705322,0.042904,-0.030845,0.706915,-1.695590,-1.861255,0.569777,-0.672492,0.054760,-0.042223,0.736867,-1.759793,-1.866591,0.107282,-0.612062,0.015923,-0.020602,0.790381,-1.646856,-1.895778,0.021109,-0.612062,0.015923,-0.020602,0.790381,-1.646353,-1.954187,1.210528,-0.647847,0.024323,-0.006300,0.761356,-1.641292,-1.951732,1.322370,-0.615164,0.018523,0.000900,0.788181,-1.637893,-1.948803,1.443262,-0.578558,0.012144,0.008780,0.815503,-1.625441,-1.949448,1.560189,-0.540644,0.005843,0.016601,0.841068,-1.637329,-1.940362,1.679836,-0.665047,-0.005800,0.022102,0.746452,-1.641134,-1.937835,1.779718,-0.758168,-0.015723,0.026324,0.651337,-1.657028,-1.987647,1.601260,-0.686858,-0.006479,0.001700,0.726761,-1.665820,-2.143369,1.600155,-0.307944,-0.635491,-0.291142,0.645413,-1.666505,-2.150481,1.341328,-0.424345,-0.589541,-0.387441,0.567681,-1.650816,-2.157568,1.057910,-0.007958,0.494245,-0.846198,-0.199018,-1.616331,-1.898556,1.598538,0.389522,0.002464,0.011201,0.920946,-1.507693,-2.010466,1.599191,-0.370709,0.588869,0.368709,0.616329,-1.499506,-2.004584,1.340430,-0.224915,0.658085,0.222714,0.683180,-1.490227,-2.000556,1.056647,0.670821,-0.006458,-0.151641,0.725922,
904374,-1.652093,-1.956517,1.113753,-0.674337,0.029202,-0.012534,0.737740,-1.666699,-2.062892,1.028689,-0.844943,0.011567,-0.036835,0.533461,-1.700708,-2.053886,0.574095,-0.820745,0.009234,-0.042136,0.569664,-1.737917,-2.038547,0.108884,-0.460094,0.014801,-0.028602,0.887286,-1.643444,-2.105142,0.021271,-0.460094,0.014801,-0.028602,0.887286,-1.648045,-1.853817,1.023192,-0.705598,0.042869,-0.031068,0.706632,-1.695660,-1.861381,0.569789,-0.672847,0.054570,-0.042336,0.736551,-1.759798,-1.866550,0.107308,-0.612061,0.016002,-0.020635,0.790379,-1.646875,-1.895741,0.021117,-0.612061,0.016002,-0.020635,0.790379,-1.646275,-1.954491,1.210547,-0.647846,0.024402,-0.006334,0.761354,-1.641195,-1.952030,1.322389,-0.615146,0.018635,0.000867,0.788192,-1.637770,-1.949091,1.443286,-0.578520,0.012334,0.008700,0.815528,-1.625269,-1.949727,1.560224,-0.540643,0.006067,0.016601,0.841067,-1.637112,-1.940612,1.679874,-0.665046,-0.005767,0.022135,0.746452,-1.640917,-1.938074,1.779755,-0.758218,-0.015835,0.026436,0.651273,-1.656841,-1.987915,1.601316,-0.686893,-0.006334,0.001667,0.726729,-1.665619,-2.143637,1.600237,-0.307895,-0.635459,-0.291160,0.645460,-1.666340,-2.150740,1.341383,-0.424340,-0.589423,-0.387470,0.567787,-1.650732,-2.157868,1.057956,-0.007767,0.494223,-0.846206,-0.199043,-1.616145,-1.898825,1.598557,0.390011,0.002800,0.011235,0.920737,-1.507629,-2.010848,1.599119,-0.370650,0.589013,0.368616,0.616283,-1.499508,-2.004993,1.340383,-0.224956,0.658367,0.222689,0.682903,-1.490452,-2.001011,1.056613,0.670887,-0.006200,-0.151345,0.725925,
904384,-1.652060,-1.956846,1.113760,-0.674336,0.029202,-0.012632,0.737739,-1.666677,-2.063209,1.028682,-0.844727,0.011438,-0.036934,0.533799,-1.700694,-2.054042,0.574108,-0.820488,0.009069,-0.042234,0.570029,-1.737884,-2.038508,0.108909,-0.459990,0.014801,-0.028601,0.887340,-1.643424,-2.105128,0.021293,-0.459990,0.014801,-0.028601,0.887340,-1.648023,-1.854133,1.023213,-0.705859,0.042741,-0.031234,0.706372,-1.695656,-1.861525,0.569852,-0.673138,0.054441,-0.042465,0.736286,-1.759784,-1.866549,0.107366,-0.612080,0.016001,-0.020702,0.790363,-1.646862,-1.895726,0.021159,-0.612080,0.016001,-0.020702,0.790363,-1.646229,-1.954834,1.210553,-0.647845,0.024433,-0.006432,0.761353,-1.641129,-1.952385,1.322395,-0.615113,0.018732,0.000769,0.788216,-1.637671,-1.949450,1.443305,-0.578519,0.012463,0.008669,0.815527,-1.625141,-1.950075,1.560240,-0.540643,0.006232,0.016570,0.841066,-1.636947,-1.940944,1.679892,-0.665045,-0.005700,0.022202,0.746451,-1.640750,-1.938388,1.779773,-0.758243,-0.015901,0.026564,0.651237,-1.656700,-1.988258,1.601346,-0.686994,-0.006107,0.001569,0.726635,-1.665435,-2.143981,1.600298,-0.307832,-0.635435,-0.291262,0.645467,-1.666192,-2.151033,1.341449,-0.424333,-0.589283,-0.387561,0.567876,-1.650681,-2.158180,1.058008,-0.007638,0.494245,-0.846177,-0.199118,-1.616004,-1.899168,1.598563,0.390495,0.003094,0.011332,0.920530,-1.507605,-2.011308,1.599055,-0.370615,0.589136,0.368515,0.616246,-1.499545,-2.005464,1.340312,-0.225016,0.658608,0.222584,0.682685,-1.490684,-2.001478,1.056518,0.670997,-0.005938,-0.151121,0.725872,
904395,-1.652069,-1.957187,1.113760,-0.674346,0.029202,-0.012744,0.737728,-1.666696,-2.063533,1.028669,-0.844628,0.011257,-0.037024,0.533953,-1.700693,-2.054176,0.574089,-0.820345,0.008957,-0.042324,0.570231,-1.737889,-2.038500,0.108887,-0.459910,0.014779,-0.028580,0.887382,-1.643441,-2.105135,0.021282,-0.459910,0.014779,-0.028580,0.887382,-1.648048,-1.854462,1.023232,-0.706111,0.042582,-0.031325,0.706125,-1.695634,-1.861710,0.569868,-0.673367,0.054259,-0.042623,0.736082,-1.759739,-1.866531,0.107346,-0.612122,0.016022,-0.020722,0.790329,-1.646809,-1.895697,0.021125,-0.612122,0.016022,-0.020722,0.790329,-1.646223,-1.955191,1.210550,-0.647844,0.024502,-0.006544,0.761351,-1.641095,-1.952751,1.322391,-0.615122,0.018801,0.000678,0.788207,-1.637610,-1.949823,1.443296,-0.578519,0.012622,0.008579,0.815526,-1.625038,-1.950443,1.560227,-0.540643,0.006344,0.016501,0.841067,-1.636813,-1.941312,1.679882,-0.665045,-0.005700,0.022223,0.746451,-1.640619,-1.938753,1.779763,-0.758250,-0.015944,0.026723,0.651221,-1.656587,-1.988626,1.601342,-0.687088,-0.005857,0.001478,0.726549,-1.665282,-2.144350,1.600331,-0.307838,-0.635356,-0.291401,0.645479,-1.666089,-2.151372,1.341491,-0.424342,-0.589114,-0.387660,0.567977,-1.650687,-2.158551,1.058056,-0.007436,0.494244,-0.846175,-0.199139,-1.615891,-1.899536,1.598548,0.390925,0.003344,0.011401,0.920346,-1.507596,-2.011780,1.598978,-0.370526,0.589319,0.368426,0.616179,-1.499614,-2.005985,1.340233,-0.224997,0.658799,0.222497,0.682536,-1.490890,-2.002016,1.056442,0.671084,-0.005779,-0.150871,0.725845,
904405,-1.652113,-1.957601,1.113757,-0.674396,0.029229,-0.012979,0.737677,-1.666756,-2.063915,1.028645,-0.844588,0.011049,-0.037129,0.534014,-1.700731,-2.054344,0.574081,-0.820363,0.008749,-0.042428,0.570200,-1.737896,-2.038454,0.108875,-0.459798,0.014701,-0.028476,0.887445,-1.643442,-2.105127,0.021297,-0.459798,0.014701,-0.028476,0.887445,-1.648139,-1.854855,1.023266,-0.706296,0.042453,-0.031429,0.705944,-1.695706,-1.861964,0.569900,-0.673561,0.054051,-0.042728,0.735913,-1.759731,-1.866599,0.107383,-0.612133,0.016101,-0.020801,0.790317,-1.646823,-1.895758,0.021140,-0.612133,0.016101,-0.020801,0.790317,-1.646233,-1.955634,1.210539,-0.647870,0.024528,-0.006778,0.761326,-1.641067,-1.953231,1.322379,-0.615160,0.018828,0.000548,0.788177,-1.637559,-1.950324,1.443269,-0.578518,0.012726,0.008474,0.815526,-1.624952,-1.950950,1.560196,-0.540642,0.006526,0.016501,0.841066,-1.636690,-1.941795,1.679853,-0.665044,-0.005700,0.022327,0.746449,-1.640510,-1.939221,1.779734,-0.758283,-0.016153,0.026855,0.651172,-1.656489,-1.989125,1.601328,-0.687210,-0.005597,0.001348,0.726436,-1.665133,-2.144855,1.600349,-0.307859,-0.635216,-0.291709,0.645469,-1.666026,-2.151803,1.341499,-0.424369,-0.588882,-0.387791,0.568109,-1.650766,-2.159029,1.058059,-0.007097,0.494267,-0.846145,-0.199217,-1.615793,-1.900036,1.598504,0.391374,0.003552,0.011427,0.920154,-1.507612,-2.012381,1.598880,-0.370408,0.589532,0.368282,0.616131,-1.499714,-2.006629,1.340112,-0.224913,0.658991,0.222387,0.682414,-1.491112,-2.002692,1.056303,0.671198,-0.005675,-0.150690,0.725778,
904415,-1.652153,-1.958001,1.113741,-0.674464,0.029301,-0.013291,0.737607,-1.666824,-2.064298,1.028588,-0.844713,0.010841,-0.037232,0.533813,-1.700780,-2.054524,0.574016,-0.820481,0.008540,-0.042531,0.570025,-1.737918,-2.038426,0.108798,-0.459741,0.014671,-0.028343,0.887479,-1.643465,-2.105125,0.021257,-0.459741,0.014671,-0.028343,0.887479,-1.648244,-1.855210,1.023276,-0.706387,0.042273,-0.031563,0.705857,-1.695783,-1.862124,0.569887,-0.673673,0.053873,-0.042833,0.735817,-1.759751,-1.866584,0.107371,-0.612188,0.016102,-0.020802,0.790275,-1.646848,-1.895726,0.021135,-0.612188,0.016102,-0.020802,0.790275,-1.646222,-1.956069,1.210531,-0.647947,0.024602,-0.007061,0.761255,-1.641003,-1.953703,1.322368,-0.615178,0.018931,0.000340,0.788161,-1.637443,-1.950820,1.443262,-0.578533,0.012801,0.008370,0.815516,-1.624809,-1.951455,1.560180,-0.540642,0.006631,0.016471,0.841065,-1.636522,-1.942293,1.679840,-0.665042,-0.005730,0.022431,0.746447,-1.640360,-1.939707,1.779720,-0.758276,-0.016362,0.027063,0.651166,-1.656337,-1.989627,1.601321,-0.687358,-0.005210,0.001170,0.726299,-1.664920,-2.145375,1.600392,-0.307963,-0.635038,-0.292051,0.645439,-1.665896,-2.152267,1.341541,-0.424435,-0.588559,-0.387962,0.568277,-1.650820,-2.159570,1.058082,-0.006711,0.494376,-0.846078,-0.199248,-1.615641,-1.900538,1.598483,0.391890,0.003760,0.011501,0.919933,-1.507584,-2.013009,1.598810,-0.370331,0.589809,0.368101,0.616021,-1.499825,-2.007300,1.340033,-0.224881,0.659132,0.222251,0.682333,-1.491321,-2.003352,1.056215,0.671278,-0.005570,-0.150611,0.725722,
