time(ms),Hips position X(m),Hips position Y(m),Hips position Z(m),Hips quaternion W,Hips quaternion X,Hips quaternion Y,Hips quaternion Z,RightUpperLeg position X(m),RightUpperLeg position Y(m),RightUpperLeg position Z(m),RightUpperLeg quaternion W,RightUpperLeg quaternion X,RightUpperLeg quaternion Y,RightUpperLeg quaternion Z,RightLowerLeg position X(m),RightLowerLeg position Y(m),RightLowerLeg position Z(m),RightLowerLeg quaternion W,RightLowerLeg quaternion X,RightLowerLeg quaternion Y,RightLowerLeg quaternion Z,RightFoot position X(m),RightFoot position Y(m),RightFoot position Z(m),RightFoot quaternion W,RightFoot quaternion X,RightFoot quaternion Y,RightFoot quaternion Z,RightToe position X(m),RightToe position Y(m),RightToe position Z(m),RightToe quaternion W,RightToe quaternion X,RightToe quaternion Y,RightToe quaternion Z,LeftUpperLeg position X(m),LeftUpperLeg position Y(m),LeftUpperLeg position Z(m),LeftUpperLeg quaternion W,LeftUpperLeg quaternion X,LeftUpperLeg quaternion Y,LeftUpperLeg quaternion Z,LeftLowerLeg position X(m),LeftLowerLeg position Y(m),LeftLowerLeg position Z(m),LeftLowerLeg quaternion W,LeftLowerLeg quaternion X,LeftLowerLeg quaternion Y,LeftLowerLeg quaternion Z,LeftFoot position X(m),LeftFoot position Y(m),LeftFoot position Z(m),LeftFoot quaternion W,LeftFoot quaternion X,LeftFoot quaternion Y,LeftFoot quaternion Z,LeftToe position X(m),LeftToe position Y(m),LeftToe position Z(m),LeftToe quaternion W,LeftToe quaternion X,LeftToe quaternion Y,LeftToe quaternion Z,Spine position X(m),Spine position Y(m),Spine position Z(m),Spine quaternion W,Spine quaternion X,Spine quaternion Y,Spine quaternion Z,Spine1 position X(m),Spine1 position Y(m),Spine1 position Z(m),Spine1 quaternion W,Spine1 quaternion X,Spine1 quaternion Y,Spine1 quaternion Z,Spine2 position X(m),Spine2 position Y(m),Spine2 position Z(m),Spine2 quaternion W,Spine2 quaternion X,Spine2 quaternion Y,Spine2 quaternion Z,Spine3 position X(m),Spine3 position Y(m),Spine3 position Z(m),Spine3 quaternion W,Spine3 quaternion X,Spine3 quaternion Y,Spine3 quaternion Z,Neck position X(m),Neck position Y(m),Neck position Z(m),Neck quaternion W,Neck quaternion X,Neck quaternion Y,Neck quaternion Z,Head position X(m),Head position Y(m),Head position Z(m),Head quaternion W,Head quaternion X,Head quaternion Y,Head quaternion Z,RightShoulder position X(m),RightShoulder position Y(m),RightShoulder position Z(m),RightShoulder quaternion W,RightShoulder quaternion X,RightShoulder quaternion Y,RightShoulder quaternion Z,RightUpperArm position X(m),RightUpperArm position Y(m),RightUpperArm position Z(m),RightUpperArm quaternion W,RightUpperArm quaternion X,RightUpperArm quaternion Y,RightUpperArm quaternion Z,RightLowerArm position X(m),RightLowerArm position Y(m),RightLowerArm position Z(m),RightLowerArm quaternion W,RightLowerArm quaternion X,RightLowerArm quaternion Y,RightLowerArm quaternion Z,RightHand position X(m),RightHand position Y(m),RightHand position Z(m),RightHand quaternion W,RightHand quaternion X,RightHand quaternion Y,RightHand quaternion Z,LeftShoulder position X(m),LeftShoulder position Y(m),LeftShoulder position Z(m),LeftShoulder quaternion W,LeftShoulder quaternion X,LeftShoulder quaternion Y,LeftShoulder quaternion Z,LeftUpperArm position X(m),LeftUpperArm position Y(m),LeftUpperArm position Z(m),LeftUpperArm quaternion W,LeftUpperArm quaternion X,LeftUpperArm quaternion Y,LeftUpperArm quaternion Z,LeftLowerArm position X(m),LeftLowerArm position Y(m),LeftLowerArm position Z(m),LeftLowerArm quaternion W,LeftLowerArm quaternion X,LeftLowerArm quaternion Y,LeftLowerArm quaternion Z,LeftHand position X(m),LeftHand position Y(m),LeftHand position Z(m),LeftHand quaternion W,LeftHand quaternion X,LeftHand quaternion Y,LeftHand quaternion Z,Unnamed: 162
904291,0.0,0.0,1.11335,-0.6746,0.0286,-0.0128,0.7374,-0.014474000000000098,-0.10627600000000004,1.028154,-0.8469,0.0124,-0.0364,0.5303,-0.0485850000000001,-0.09824899999999981,0.573531,-0.8228,0.0098,-0.0419,0.5666,-0.08597100000000002,-0.08360699999999999,0.108313,-0.4612,0.0139,-0.0267,0.8867,0.008961999999999914,-0.15017899999999984,0.02119,-0.4612,0.0139,-0.0267,0.8867,0.004010999999999987,0.10280700000000009,1.022923,-0.7045,0.043,-0.0298,0.7076,-0.04288500000000006,0.0944100000000001,0.569531,-0.6716,0.0557,-0.042,0.7375,-0.10759800000000008,0.08840200000000009,0.10716,-0.6122,0.0154,-0.0199,0.7902,0.005500999999999978,0.059223000000000026,0.021187,-0.6122,0.0154,-0.0199,0.7902,0.005766999999999856,0.0019120000000001358,1.210143,-0.6481,0.0236,-0.0066,0.7611,0.01074799999999998,0.004213000000000022,1.321998,-0.6155,0.0176,0.0006,0.7879,0.014014999999999889,0.006949000000000094,1.442915,-0.579,0.0112,0.0084,0.8151,0.026341999999999866,0.006118000000000068,1.559857,-0.5412,0.0047,0.0163,0.8407,0.014251000000000014,0.014981000000000133,1.679516,-0.6651,-0.0067,0.0218,0.7463,0.010350999999999999,0.01734300000000011,1.779396,-0.758,-0.0163,0.0261,0.6514,-0.005261000000000182,-0.032200000000000006,1.600817,-0.6871,-0.0063,0.0016,0.7265,-0.013944000000000178,-0.1879470000000001,1.599732,-0.3088,-0.6353,-0.2918,0.6447,-0.014415999999999984,-0.1950449999999997,1.340895,-0.425,-0.5896,-0.3877,0.5668,0.0016809999999998215,-0.20203199999999977,1.057486,-0.0084,0.4951,-0.8456,-0.1988,0.03532299999999999,0.05696200000000018,1.598313,0.3861,0.0008,0.0105,0.9223,0.14478400000000002,-0.05414300000000005,1.599348,-0.3722,0.5873,0.3696,0.6162,0.15329199999999998,-0.04777999999999971,1.340628,-0.2253,0.6563,0.2233,0.6845,0.16377599999999992,-0.043425999999999965,1.056885,0.6699,-0.0074,-0.1535,0.7263,
904301,0.0,0.0,1.113449,-0.674593,0.028728,-0.012674,0.737522,-0.014492999999999867,-0.10631599999999986,1.028281,-0.846824,0.012147,-0.036429,0.530485,-0.04849999999999999,-0.09807400000000022,0.573681,-0.822732,0.009574,-0.042003,0.566794,-0.08583999999999992,-0.08319699999999997,0.108481,-0.461008,0.014128,-0.027183,0.886867,0.008985999999999938,-0.14976100000000003,0.021234,-0.461008,0.014128,-0.027183,0.886867,0.004027000000000003,0.10278600000000004,1.022974,-0.704539,0.042802,-0.029955,0.707739,-0.04284200000000005,0.09461900000000001,0.569513,-0.671667,0.055452,-0.042104,0.737574,-0.10744299999999996,0.08883899999999989,0.107134,-0.612246,0.015528,-0.020102,0.790259,0.005619000000000041,0.059674000000000005,0.021105,-0.612246,0.015528,-0.020102,0.790259,0.005769000000000135,0.0019460000000000033,1.210252,-0.648113,0.023728,-0.006574,0.761146,0.01076800000000011,0.004269999999999996,1.322102,-0.615425,0.017828,0.000627,0.787993,0.014074000000000142,0.00704400000000005,1.443005,-0.578887,0.011328,0.008527,0.815284,0.026407999999999987,0.006249999999999867,1.559951,-0.541036,0.004827,0.016402,0.840825,0.014334999999999987,0.015152999999999972,1.679584,-0.665031,-0.006601,0.021929,0.746465,0.010434000000000054,0.017549000000000037,1.779462,-0.758001,-0.016301,0.026201,0.651524,-0.005201000000000011,-0.03203400000000012,1.600917,-0.686986,-0.006427,0.001727,0.72664,-0.013940000000000063,-0.18777999999999984,1.59983,-0.308609,-0.635373,-0.291607,0.645001,-0.014488999999999974,-0.1949129999999999,1.340989,-0.424949,-0.589569,-0.387745,0.566993,0.0015089999999999826,-0.20192100000000024,1.057593,-0.0083,0.495002,-0.845777,-0.198912,0.03541100000000008,0.05709300000000006,1.598383,0.386763,0.001054,0.010728,0.922116,0.14472400000000007,-0.05416600000000016,1.599374,-0.37186,0.587845,0.369287,0.616268,0.153092,-0.04790899999999998,1.340642,-0.225175,0.656637,0.223102,0.68436,0.16338300000000006,-0.04359100000000016,1.056933,0.670214,-0.007374,-0.153233,0.726139,
904311,0.0,0.0,1.113519,-0.674552,0.028834,-0.012601,0.737557,-0.014507999999999965,-0.10632599999999992,1.028388,-0.846689,0.011969,-0.036534,0.530697,-0.048507999999999996,-0.09788699999999984,0.573792,-0.822577,0.0095,-0.04197,0.567024,-0.08577999999999997,-0.08296000000000014,0.108568,-0.460907,0.014265,-0.027498,0.886907,0.008981999999999823,-0.14950599999999992,0.021243,-0.460907,0.014265,-0.027498,0.886907,0.0040320000000000356,0.1027530000000001,1.023026,-0.704535,0.042802,-0.030133,0.707736,-0.0429520000000001,0.09470099999999992,0.569571,-0.671674,0.055274,-0.042105,0.737581,-0.10743100000000005,0.08903299999999992,0.107182,-0.612245,0.015633,-0.020133,0.790257,0.005614999999999926,0.05986099999999994,0.021132,-0.612245,0.015633,-0.020133,0.790257,0.005773999999999946,0.0019700000000000273,1.210312,-0.648053,0.023866,-0.006469,0.761194,0.01078099999999993,0.0043320000000000025,1.322157,-0.615343,0.017933,0.000732,0.788055,0.014091999999999993,0.007141000000000064,1.443062,-0.578754,0.011465,0.008633,0.815376,0.026435999999999904,0.006381999999999888,1.560002,-0.540914,0.004964,0.016433,0.840903,0.014387999999999845,0.01531299999999991,1.679644,-0.664973,-0.006537,0.022002,0.746514,0.010486999999999913,0.017727999999999966,1.779516,-0.757969,-0.01627,0.026234,0.651559,-0.005178000000000127,-0.031887999999999916,1.600984,-0.686893,-0.006532,0.0018,0.726727,-0.01395600000000008,-0.18762499999999993,1.599889,-0.308473,-0.635377,-0.291503,0.64511,-0.014547000000000088,-0.19476399999999994,1.341051,-0.424903,-0.589549,-0.3877,0.567079,0.0014170000000000016,-0.20179799999999992,1.057634,-0.008268,0.494892,-0.845842,-0.19891,0.03546300000000002,0.05723300000000009,1.598424,0.387285,0.001264,0.010833,0.921896,0.14465099999999986,-0.05415199999999998,1.59937,-0.371544,0.588126,0.369107,0.616297,0.15296999999999983,-0.04798900000000006,1.340632,-0.224995,0.656841,0.223026,0.684249,0.16315599999999986,-0.04375299999999993,1.056913,0.670378,-0.007269,-0.152947,0.72605,
904322,0.0,0.0,1.113573,-0.67455,0.028925,-0.012578,0.737555,-0.014516999999999891,-0.10634100000000002,1.028459,-0.846535,0.011901,-0.036603,0.53094,-0.04853200000000002,-0.09780699999999998,0.573896,-0.822394,0.009478,-0.041902,0.567294,-0.08573600000000003,-0.0828859999999998,0.108664,-0.460777,0.014423,-0.027769,0.886964,0.008966999999999947,-0.14943600000000012,0.02126,-0.460777,0.014423,-0.027769,0.886964,0.00402199999999997,0.102738,1.023064,-0.704556,0.042802,-0.030246,0.707711,-0.043034999999999934,0.09475800000000012,0.569612,-0.671713,0.055183,-0.042104,0.737552,-0.10745099999999996,0.08914299999999997,0.107205,-0.612218,0.015701,-0.020224,0.790275,0.005575000000000108,0.05996900000000016,0.021128,-0.612218,0.015701,-0.020224,0.790275,0.005784000000000011,0.0019850000000001256,1.210366,-0.648004,0.024023,-0.0064,0.761231,0.010809000000000069,0.0043800000000000505,1.322219,-0.615328,0.018024,0.0008,0.788065,0.014126000000000083,0.007216000000000111,1.44312,-0.578727,0.011623,0.008701,0.815392,0.026491000000000042,0.006490000000000107,1.560059,-0.540833,0.005123,0.016524,0.840952,0.01446499999999995,0.015463000000000005,1.679706,-0.66494,-0.006378,0.022001,0.746545,0.010587000000000124,0.01789900000000011,1.779589,-0.757969,-0.016179,0.026302,0.651559,-0.005125000000000046,-0.031761999999999846,1.601061,-0.686857,-0.006601,0.0018,0.72676,-0.013916999999999957,-0.18748399999999998,1.599951,-0.30832,-0.635387,-0.291418,0.645211,-0.014548999999999923,-0.19461400000000006,1.341121,-0.424804,-0.589567,-0.387622,0.567187,0.0013780000000001014,-0.20166299999999993,1.057721,-0.008178,0.494798,-0.845896,-0.198917,0.035535000000000094,0.05735400000000013,1.598466,0.387734,0.001468,0.010923,0.921706,0.144617,-0.054139999999999855,1.599365,-0.371286,0.588294,0.369008,0.616352,0.15293299999999999,-0.048049999999999926,1.340614,-0.224918,0.657021,0.222996,0.684111,0.16300500000000007,-0.04387300000000005,1.056869,0.670458,-0.007178,-0.152763,0.726016,
904332,0.0,0.0,1.113631,-0.674521,0.029029,-0.012474,0.737579,-0.014524999999999899,-0.10636499999999982,1.028548,-0.846268,0.011874,-0.036629,0.531364,-0.04854499999999984,-0.09777999999999976,0.573952,-0.822139,0.009401,-0.041902,0.567665,-0.08570100000000003,-0.08278399999999975,0.108726,-0.460577,0.014528,-0.028055,0.887058,0.008930000000000105,-0.14933700000000005,0.021255,-0.460577,0.014528,-0.028055,0.887058,0.004027000000000003,0.10271300000000005,1.02309,-0.704669,0.042829,-0.030428,0.707589,-0.043161000000000005,0.09482500000000016,0.569661,-0.671868,0.055077,-0.042103,0.737419,-0.10750700000000002,0.08926200000000017,0.107207,-0.61213,0.015727,-0.020328,0.790339,0.005502000000000118,0.06007300000000004,0.021104,-0.61213,0.015727,-0.020328,0.790339,0.005785000000000151,0.0020140000000001823,1.210423,-0.647958,0.024102,-0.006374,0.761268,0.010819000000000134,0.004425000000000123,1.322264,-0.615266,0.018129,0.000827,0.788111,0.014153000000000082,0.007281000000000093,1.443159,-0.578638,0.011727,0.008727,0.815453,0.026534000000000058,0.006572000000000022,1.560101,-0.540813,0.005254,0.016601,0.840962,0.014523999999999981,0.015577000000000174,1.679744,-0.66494,-0.006274,0.022028,0.746545,0.010658999999999974,0.01803100000000013,1.779627,-0.757995,-0.016075,0.026276,0.651532,-0.005077999999999916,-0.03166699999999989,1.601117,-0.686844,-0.0066,0.0018,0.726773,-0.013876,-0.18739499999999998,1.600006,-0.308214,-0.635411,-0.291312,0.645286,-0.014526000000000039,-0.1945319999999997,1.341174,-0.42464,-0.589619,-0.387534,0.567316,0.0013560000000001349,-0.20157800000000003,1.057795,-0.008101,0.494597,-0.846013,-0.19892,0.03558499999999998,0.05744499999999997,1.598491,0.388227,0.001753,0.011027,0.921496,0.14454800000000012,-0.05416799999999977,1.599323,-0.371075,0.588499,0.368902,0.616347,0.15281999999999996,-0.04815300000000011,1.340565,-0.224888,0.657296,0.222888,0.683892,0.16269500000000003,-0.04400999999999988,1.056804,0.670577,-0.007047,-0.152532,0.725955,
904343,0.0,0.0,1.113671,-0.674444,0.029102,-0.012401,0.737648,-0.014546999999999866,-0.1063820000000002,1.02861,-0.845953,0.011772,-0.036702,0.531863,-0.04857,-0.09766300000000006,0.574004,-0.821779,0.009401,-0.041931,0.568184,-0.08573699999999995,-0.08262900000000006,0.108801,-0.460424,0.01463,-0.028259,0.887129,0.008829000000000198,-0.1491849999999999,0.021285,-0.460424,0.01463,-0.028259,0.887129,0.0040480000000000516,0.10269299999999992,1.023107,-0.70483,0.042904,-0.030559,0.707418,-0.043266999999999944,0.09483099999999989,0.569733,-0.672006,0.054976,-0.042131,0.737299,-0.10755899999999996,0.08933900000000006,0.107283,-0.612128,0.015829,-0.020429,0.790336,0.005426000000000153,0.0601529999999999,0.021146,-0.612128,0.015829,-0.020429,0.790336,0.005786000000000069,0.0020320000000000338,1.210464,-0.647928,0.02413,-0.006301,0.761293,0.010815000000000019,0.0044599999999999085,1.322306,-0.615211,0.018257,0.0009,0.78815,0.014162000000000008,0.00734900000000005,1.44321,-0.578618,0.011857,0.008801,0.815465,0.02655800000000008,0.0066710000000000935,1.560148,-0.540748,0.005429,0.01663,0.841003,0.014581000000000177,0.015705999999999998,1.679788,-0.664954,-0.006144,0.022102,0.746532,0.010725000000000096,0.018188000000000093,1.779666,-0.758066,-0.015945,0.026202,0.651456,-0.005047999999999941,-0.031552000000000024,1.601179,-0.686821,-0.0066,0.0018,0.726794,-0.013855999999999868,-0.18728900000000004,1.600068,-0.308112,-0.635482,-0.29121,0.645311,-0.014492999999999867,-0.19441999999999982,1.341234,-0.424526,-0.589648,-0.38745,0.567429,0.0013540000000000774,-0.20147800000000005,1.057838,-0.008073,0.49442,-0.846111,-0.198947,0.035627000000000075,0.05754999999999999,1.598522,0.388644,0.001956,0.011101,0.921319,0.144482,-0.05415499999999995,1.599306,-0.3709,0.588673,0.3688,0.616347,0.15271600000000007,-0.04819799999999996,1.340545,-0.224824,0.657553,0.222823,0.683687,0.16241400000000006,-0.044114999999999904,1.056799,0.670665,-0.006844,-0.152224,0.72594,
904353,0.0,0.0,1.113707,-0.67442,0.029125,-0.012401,0.737669,-0.014557000000000153,-0.10638400000000003,1.028649,-0.845652,0.011701,-0.036725,0.532341,-0.04855700000000018,-0.09757899999999986,0.574051,-0.821456,0.009378,-0.042002,0.568646,-0.08575900000000014,-0.08246800000000021,0.108833,-0.460308,0.014724,-0.028425,0.887182,0.008769999999999945,-0.14903700000000009,0.021266,-0.460308,0.014724,-0.028425,0.887182,0.004050999999999805,0.10269099999999987,1.023139,-0.705039,0.042904,-0.030726,0.707203,-0.04336800000000007,0.09492199999999995,0.56977,-0.672218,0.054881,-0.042203,0.737109,-0.10763900000000004,0.08952099999999996,0.107315,-0.612112,0.015901,-0.020524,0.790345,0.005322999999999967,0.06033699999999986,0.021152,-0.612112,0.015901,-0.020524,0.790345,0.005788999999999822,0.0020359999999999268,1.2105,-0.647849,0.024225,-0.0063,0.761357,0.01083400000000001,0.004476999999999842,1.322343,-0.615165,0.018425,0.0009,0.788183,0.014213999999999949,0.007390999999999925,1.443235,-0.578569,0.012024,0.008801,0.815497,0.026639999999999997,0.006734000000000018,1.560161,-0.540698,0.005568,0.016678,0.841033,0.014684999999999837,0.015798999999999896,1.679813,-0.665003,-0.005955,0.022103,0.74649,0.010856999999999895,0.018305999999999933,1.779684,-0.758088,-0.015779,0.026225,0.651434,-0.004966000000000026,-0.031479000000000035,1.601211,-0.686857,-0.006578,0.001777,0.72676,-0.013758000000000159,-0.18720100000000017,1.600101,-0.308018,-0.635484,-0.291139,0.645386,-0.014423999999999992,-0.19433600000000006,1.341269,-0.424427,-0.589569,-0.387445,0.567589,0.001322999999999963,-0.20141999999999993,1.05786,-0.008001,0.494312,-0.846159,-0.199014,0.03572299999999995,0.05762500000000004,1.598526,0.389052,0.002168,0.011124,0.921146,0.1444749999999999,-0.05417300000000025,1.599253,-0.370808,0.588771,0.36873,0.616351,0.15268399999999982,-0.048241999999999896,1.340493,-0.224844,0.657832,0.222799,0.68342,0.162169,-0.044211,1.056735,0.670747,-0.006655,-0.151937,0.725926,
904363,0.0,0.0,1.113734,-0.674338,0.029202,-0.012422,0.737741,-0.014591999999999938,-0.10638900000000007,1.028686,-0.845312,0.01168,-0.036803,0.532876,-0.048633999999999844,-0.09750900000000007,0.574127,-0.821104,0.009301,-0.042025,0.569154,-0.08580199999999993,-0.08230499999999985,0.108935,-0.460197,0.014801,-0.028522,0.887235,0.008697000000000177,-0.14889200000000002,0.021334,-0.460197,0.014801,-0.028522,0.887235,0.004061000000000092,0.102684,1.023157,-0.705322,0.042904,-0.030845,0.706915,-0.04343299999999983,0.09497399999999989,0.569777,-0.672492,0.05476,-0.042223,0.736867,-0.10763599999999984,0.0896380000000001,0.107282,-0.612062,0.015923,-0.020602,0.790381,0.005301,0.06045100000000003,0.021109,-0.612062,0.015923,-0.020602,0.790381,0.005804000000000142,0.0020420000000000993,1.210528,-0.647847,0.024323,-0.0063,0.761356,0.010865000000000125,0.004496999999999973,1.32237,-0.615164,0.018523,0.0009,0.788181,0.014264000000000054,0.007425999999999933,1.443262,-0.578558,0.012144,0.00878,0.815503,0.026716000000000184,0.006780999999999926,1.560189,-0.540644,0.005843,0.016601,0.841068,0.014828000000000063,0.015867000000000075,1.679836,-0.665047,-0.0058,0.022102,0.746452,0.011023000000000005,0.01839400000000002,1.779718,-0.758168,-0.015723,0.026324,0.651337,-0.004870999999999848,-0.031417999999999946,1.60126,-0.686858,-0.006479,0.0017,0.726761,-0.01366299999999998,-0.18713999999999986,1.600155,-0.307944,-0.635491,-0.291142,0.645413,-0.014347999999999805,-0.1942520000000001,1.341328,-0.424345,-0.589541,-0.387441,0.567681,0.0013410000000000366,-0.20133899999999993,1.05791,-0.007958,0.494245,-0.846198,-0.199018,0.035826000000000136,0.057673000000000085,1.598538,0.389522,0.002464,0.011201,0.920946,0.14446400000000015,-0.05423700000000009,1.599191,-0.370709,0.588869,0.368709,0.616329,0.1526510000000001,-0.048354999999999926,1.34043,-0.224915,0.658085,0.222714,0.68318,0.16193000000000013,-0.044327000000000005,1.056647,0.670821,-0.006458,-0.151641,0.725922,
904374,0.0,0.0,1.113753,-0.674337,0.029202,-0.012534,0.73774,-0.014605999999999897,-0.10637500000000011,1.028689,-0.844943,0.011567,-0.036835,0.533461,-0.048615000000000075,-0.09736899999999982,0.574095,-0.820745,0.009234,-0.042136,0.569664,-0.0858239999999999,-0.08202999999999983,0.108884,-0.460094,0.014801,-0.028602,0.887286,0.008649000000000129,-0.14862499999999979,0.021271,-0.460094,0.014801,-0.028602,0.887286,0.0040480000000000516,0.10270000000000001,1.023192,-0.705598,0.042869,-0.031068,0.706632,-0.04356699999999991,0.09513600000000011,0.569789,-0.672847,0.05457,-0.042336,0.736551,-0.10770499999999994,0.08996700000000013,0.107308,-0.612061,0.016002,-0.020635,0.790379,0.005217999999999945,0.06077600000000016,0.021117,-0.612061,0.016002,-0.020635,0.790379,0.005818000000000101,0.0020260000000000833,1.210547,-0.647846,0.024402,-0.006334,0.761354,0.010898000000000074,0.00448700000000013,1.322389,-0.615146,0.018635,0.000867,0.788192,0.014323000000000086,0.007426000000000155,1.443286,-0.57852,0.012334,0.0087,0.815528,0.02682399999999996,0.006790000000000074,1.560224,-0.540643,0.006067,0.016601,0.841067,0.014981000000000133,0.015905000000000058,1.679874,-0.665046,-0.005767,0.022135,0.746452,0.011176000000000075,0.018442999999999987,1.779755,-0.758218,-0.015835,0.026436,0.651273,-0.0047479999999999745,-0.03139800000000004,1.601316,-0.686893,-0.006334,0.001667,0.726729,-0.013525999999999927,-0.18711999999999995,1.600237,-0.307895,-0.635459,-0.29116,0.64546,-0.014246999999999899,-0.1942229999999998,1.341383,-0.42434,-0.589423,-0.38747,0.567787,0.0013609999999999456,-0.20135100000000006,1.057956,-0.007767,0.494223,-0.846206,-0.199043,0.03594800000000009,0.05769200000000008,1.598557,0.390011,0.0028,0.011235,0.920737,0.14446399999999993,-0.05433100000000013,1.599119,-0.37065,0.589013,0.368616,0.616283,0.15258499999999997,-0.04847599999999974,1.340383,-0.224956,0.658367,0.222689,0.682903,0.16164099999999992,-0.044494000000000034,1.056613,0.670887,-0.0062,-0.151345,0.725925,
904384,0.0,0.0,1.11376,-0.674336,0.029202,-0.012632,0.737739,-0.01461699999999988,-0.10636299999999999,1.028682,-0.844727,0.011438,-0.036934,0.533799,-0.048633999999999844,-0.09719599999999984,0.574108,-0.820488,0.009069,-0.042234,0.570029,-0.0858239999999999,-0.08166200000000012,0.108909,-0.45999,0.014801,-0.028601,0.88734,0.008636000000000088,-0.14828200000000002,0.021293,-0.45999,0.014801,-0.028601,0.88734,0.004037000000000068,0.10271300000000005,1.023213,-0.705859,0.042741,-0.031234,0.706372,-0.04359599999999997,0.09532099999999999,0.569852,-0.673138,0.054441,-0.042465,0.736286,-0.10772399999999993,0.09029700000000007,0.107366,-0.61208,0.016001,-0.020702,0.790363,0.005198000000000036,0.06112000000000006,0.021159,-0.61208,0.016001,-0.020702,0.790363,0.005831000000000142,0.002012000000000125,1.210553,-0.647845,0.024433,-0.006432,0.761353,0.010931000000000024,0.004461000000000048,1.322395,-0.615113,0.018732,0.000769,0.788216,0.014388999999999985,0.00739600000000018,1.443305,-0.578519,0.012463,0.008669,0.815527,0.026919000000000137,0.0067710000000000825,1.56024,-0.540643,0.006232,0.01657,0.841066,0.015113000000000154,0.015902000000000083,1.679892,-0.665045,-0.0057,0.022202,0.746451,0.011310000000000153,0.018458000000000085,1.779773,-0.758243,-0.015901,0.026564,0.651237,-0.0046399999999999775,-0.031411999999999995,1.601346,-0.686994,-0.006107,0.001569,0.726635,-0.013374999999999915,-0.18713500000000005,1.600298,-0.307832,-0.635435,-0.291262,0.645467,-0.014131999999999811,-0.1941869999999999,1.341449,-0.424333,-0.589283,-0.387561,0.567876,0.001379000000000019,-0.20133400000000012,1.058008,-0.007638,0.494245,-0.846177,-0.199118,0.03605600000000009,0.05767800000000012,1.598563,0.390495,0.003094,0.011332,0.92053,0.144455,-0.05446200000000001,1.599055,-0.370615,0.589136,0.368515,0.616246,0.15251500000000018,-0.04861799999999983,1.340312,-0.225016,0.658608,0.222584,0.682685,0.16137600000000019,-0.044632000000000005,1.056518,0.670997,-0.005938,-0.151121,0.725872,
904395,0.0,0.0,1.11376,-0.674346,0.029202,-0.012744,0.737728,-0.014626999999999946,-0.10634600000000005,1.028669,-0.844628,0.011257,-0.037024,0.533953,-0.048624,-0.09698899999999999,0.574089,-0.820345,0.008957,-0.042324,0.570231,-0.08582000000000001,-0.08131299999999997,0.108887,-0.45991,0.014779,-0.02858,0.887382,0.00862800000000008,-0.1479480000000002,0.021282,-0.45991,0.014779,-0.02858,0.887382,0.004021000000000052,0.10272499999999996,1.023232,-0.706111,0.042582,-0.031325,0.706125,-0.043565000000000076,0.09547700000000003,0.569868,-0.673367,0.054259,-0.042623,0.736082,-0.10766999999999993,0.09065600000000007,0.107346,-0.612122,0.016022,-0.020722,0.790329,0.005260000000000042,0.061490000000000045,0.021125,-0.612122,0.016022,-0.020722,0.790329,0.005846000000000018,0.001996000000000109,1.21055,-0.647844,0.024502,-0.006544,0.761351,0.01097400000000004,0.0044360000000001065,1.322391,-0.615122,0.018801,0.000678,0.788207,0.014459,0.007363999999999926,1.443296,-0.578519,0.012622,0.008579,0.815526,0.027031000000000027,0.006744000000000083,1.560227,-0.540643,0.006344,0.016501,0.841067,0.015255999999999936,0.015875000000000083,1.679882,-0.665045,-0.0057,0.022223,0.746451,0.01144999999999996,0.01843400000000006,1.779763,-0.75825,-0.015944,0.026723,0.651221,-0.004518000000000022,-0.031438999999999995,1.601342,-0.687088,-0.005857,0.001478,0.726549,-0.01321299999999992,-0.1871630000000002,1.600331,-0.307838,-0.635356,-0.291401,0.645479,-0.014019999999999921,-0.19418499999999983,1.341491,-0.424342,-0.589114,-0.38766,0.567977,0.0013819999999999943,-0.2013640000000001,1.058056,-0.007436,0.494244,-0.846175,-0.199139,0.03617800000000004,0.05765100000000012,1.598548,0.390925,0.003344,0.011401,0.920346,0.14447300000000007,-0.05459299999999989,1.598978,-0.370526,0.589319,0.368426,0.616179,0.152455,-0.0487979999999999,1.340233,-0.224997,0.658799,0.222497,0.682536,0.16117899999999996,-0.044828999999999786,1.056442,0.671084,-0.005779,-0.150871,0.725845,
